,SongID,duration,popularity,WeekID,year
0,"AdictoTainy, Anuel AA & Ozuna",270740.0,91.0,10/12/2019,2019
1,ShallowLady Gaga & Bradley Cooper,215733.0,88.0,1/12/2019,2018
2,ShallowLady Gaga & Bradley Cooper,215733.0,89.0,1/12/2019,2018
3,EnemiesPost Malone Featuring DaBaby,196760.0,86.0,10/12/2019,2019
4,"Bacc At It AgainYella Beezy, Gucci Mane & Quavo",228185.0,61.0,6/15/2019,2019
5,"Bacc At It AgainYella Beezy, Gucci Mane & Quavo",228185.0,62.0,6/15/2019,2019
6,The ArcherTaylor Swift,211240.0,76.0,8/10/2019,2019
7,VIBEZDaBaby,144935.0,88.0,10/12/2019,2019
8,When I Grow UpNF,196800.0,74.0,7/13/2019,2019
9,Hollywood's BleedingPost Malone,156266.0,85.0,10/12/2019,2019
10,What Happens In A Small TownBrantley Gilbert + Lindsay Ell,203560.0,57.0,10/12/2019,2019
11,Famous HoesNLE Choppa,135460.0,80.0,12/28/2019,2019
12,Cornelia StreetTaylor Swift,287266.0,74.0,9/7/2019,2019
13,HeatChris Brown Featuring Gunna,232733.0,78.0,10/12/2019,2019
14,Yellow HeartsAnt Saunders,223257.0,89.0,11/23/2019,2019
15,Make It RightBTS Featuring Lauv,226321.0,84.0,11/2/2019,2019
16,TimeNF,240428.0,79.0,10/12/2019,2019
17,Cuban LinksRod Wave & Kevin Gates,192182.0,71.0,12/14/2019,2019
18,PetaRoddy Ricch Featuring Meek Mill,198848.0,83.0,12/21/2019,2019
19,INTRODaBaby,172800.0,80.0,10/12/2019,2019
20,Don't Check On MeChris Brown Featuring Justin Bieber & Ink,204880.0,72.0,7/13/2019,2019
21,Dance MonkeyTones And I,209438.0,100.0,10/19/2019,2019
22,HeartlessThe Weeknd,200080.0,93.0,12/14/2019,2019
23,"Break Up With Your Girlfriend, I'm BoredAriana Grande",190440.0,85.0,2/23/2019,2019
24,"GOSPELDaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",214893.0,71.0,10/12/2019,2019
25,Miss Americana & The Heartbreak PrinceTaylor Swift,234146.0,74.0,9/7/2019,2019
26,Prayed For YouMatt Stell,210373.0,74.0,10/12/2019,2019
27,GoldenHarry Styles,208906.0,85.0,12/28/2019,2019
28,Bad Bad BadYoung Thug Featuring Lil Baby,149040.0,82.0,10/12/2019,2019
