,SongID,duration,popularity,year,duration_sec
0,"AdictoTainy, Anuel AA & Ozuna",270740.0,91.0,2019,270.74
1,ShallowLady Gaga & Bradley Cooper,215733.0,88.0,2018,215.733
3,EnemiesPost Malone Featuring DaBaby,196760.0,86.0,2019,196.76
4,"Bacc At It AgainYella Beezy, Gucci Mane & Quavo",228185.0,61.0,2019,228.185
6,The ArcherTaylor Swift,211240.0,76.0,2019,211.24
7,VIBEZDaBaby,144935.0,88.0,2019,144.935
8,When I Grow UpNF,196800.0,74.0,2019,196.8
9,Hollywood's BleedingPost Malone,156266.0,85.0,2019,156.266
10,What Happens In A Small TownBrantley Gilbert + Lindsay Ell,203560.0,57.0,2019,203.56
11,Famous HoesNLE Choppa,135460.0,80.0,2019,135.46
12,Cornelia StreetTaylor Swift,287266.0,74.0,2019,287.266
13,HeatChris Brown Featuring Gunna,232733.0,78.0,2019,232.733
14,Yellow HeartsAnt Saunders,223257.0,89.0,2019,223.257
15,Make It RightBTS Featuring Lauv,226321.0,84.0,2019,226.321
16,TimeNF,240428.0,79.0,2019,240.428
17,Cuban LinksRod Wave & Kevin Gates,192182.0,71.0,2019,192.182
18,PetaRoddy Ricch Featuring Meek Mill,198848.0,83.0,2019,198.848
19,INTRODaBaby,172800.0,80.0,2019,172.8
20,Don't Check On MeChris Brown Featuring Justin Bieber & Ink,204880.0,72.0,2019,204.88
21,Dance MonkeyTones And I,209438.0,100.0,2019,209.438
22,HeartlessThe Weeknd,200080.0,93.0,2019,200.08
23,"Break Up With Your Girlfriend, I'm BoredAriana Grande",190440.0,85.0,2019,190.44
24,"GOSPELDaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",214893.0,71.0,2019,214.893
25,Miss Americana & The Heartbreak PrinceTaylor Swift,234146.0,74.0,2019,234.146
26,Prayed For YouMatt Stell,210373.0,74.0,2019,210.373
27,GoldenHarry Styles,208906.0,85.0,2019,208.906
28,Bad Bad BadYoung Thug Featuring Lil Baby,149040.0,82.0,2019,149.04
30,Watermelon SugarHarry Styles,174000.0,91.0,2019,174.0
31,Better TogetherLuke Combs,219573.0,75.0,2019,219.573
32,TakeawayThe Chainsmokers & Illenium Featuring Lennon Stella,209880.0,84.0,2019,209.88
33,LivingDierks Bentley,222146.0,71.0,2019,222.146
34,"SomebodyInternet Money, Lil Tecca & A Boogie Wit da Hoodie",174333.0,83.0,2019,174.333
35,TapNAV Featuring Meek Mill,148278.0,79.0,2019,148.278
37,Hate MeEllie Goulding & Juice WRLD,186223.0,89.0,2019,186.223
38,The ManTaylor Swift,190360.0,80.0,2019,190.36
39,Valentino24kGoldn,179133.0,85.0,2019,179.133
40,TrampolineSHAED,184280.0,91.0,2019,184.28
42,God's CountryBlake Shelton,205106.0,77.0,2019,205.106
44,Without MeHalsey,201660.0,89.0,2018,201.66
46,Easier5 Seconds Of Summer,157492.0,81.0,2019,157.492
48,Hot ShowerChance The Rapper Featuring MadeinTYO & DaBaby,225923.0,83.0,2019,225.923
49,Que PretendesJ Balvin & Bad Bunny,222346.0,87.0,2019,222.346
50,FallingHarry Styles,240133.0,89.0,2019,240.133
51,HIGHEST IN THE ROOMTravis Scott,175720.0,95.0,2019,175.72
