,year,duration,popularity
0,1921,831667,4
1,1921,180533,5
2,1921,500062,5
3,1921,210000,3
4,1921,166693,2
5,1921,395076,6
6,1921,159507,4
7,1921,218773,2
8,1921,161520,0
9,1921,196560,0
10,1921,147133,0
11,1921,155413,0
12,1921,190800,0
13,1921,184973,0
14,1921,205072,0
15,1921,221013,4
16,1921,186467,1
17,1921,250747,0
18,1921,204957,0
19,1921,122000,0
20,1921,191333,0
21,1921,187333,0
22,1921,154240,0
23,1921,158908,0
24,1921,86988,0
25,1921,218773,0
26,1921,181733,0
27,1921,155063,0
28,1921,203800,0
29,1921,130200,0
30,1921,166987,0
31,1921,159013,0
32,1921,686664,5
33,1921,337607,1
34,1921,187977,0
35,1921,151187,0
36,1921,401058,1
37,1921,117467,1
38,1921,170627,0
39,1921,831667,1
40,1921,404062,0
41,1921,120067,0
42,1921,145371,0
43,1921,256731,0
44,1921,177067,0
45,1921,248507,0
46,1921,249652,0
47,1921,198200,0
48,1921,537733,1
49,1921,124787,0
50,1921,269680,0
51,1921,178347,0
52,1921,191200,0
53,1921,167867,4
54,1921,163627,1
55,1921,169267,0
56,1921,155987,0
57,1921,174960,0
58,1921,158642,0
59,1921,141000,0
60,1921,378070,2
61,1921,207800,0
62,1921,301357,2
63,1921,172133,0
64,1921,132400,1
65,1921,414067,2
66,1921,177733,0
67,1921,388867,0
68,1921,324859,0
69,1921,151840,0
70,1921,160373,1
71,1921,187360,0
72,1921,192601,0
73,1921,494054,2
74,1921,416052,2
75,1921,544052,4
76,1921,546033,5
77,1921,255378,2
78,1921,155633,0
79,1921,169173,0
80,1921,460069,1
81,1921,673733,0
82,1921,162907,0
83,1921,159467,0
84,1921,117467,0
85,1921,255800,0
86,1921,522667,0
87,1921,221013,0
88,1921,323840,0
89,1921,269547,0
90,1921,158173,0
91,1921,196507,0
92,1921,166280,0
93,1921,805400,0
94,1921,171213,0
95,1921,170240,0
96,1921,396356,0
97,1921,153827,0
98,1921,168053,0
99,1921,279171,0
100,1921,187933,0
101,1921,196307,0
102,1921,182335,0
103,1921,159160,0
104,1921,132400,0
105,1921,524069,2
106,1921,163200,0
107,1921,133669,0
108,1921,167027,1
109,1921,174827,0
110,1921,153973,0
111,1921,490057,2
112,1921,355200,0
113,1921,187493,0
114,1921,163533,0
115,1921,355200,1
116,1921,262720,0
117,1921,151200,0
118,1921,240533,0
119,1921,385667,0
120,1921,189373,1
121,1921,167867,0
122,1921,354064,1
123,1921,180227,0
124,1921,220867,0
125,1921,673733,2
126,1921,805400,2
127,1921,454060,2
128,1921,224287,0
129,1921,199393,0
130,1921,244898,0
131,1921,211851,0
132,1921,385667,3
133,1921,380056,1
134,1921,154000,0
135,1921,162333,0
136,1921,165907,1
137,1921,252467,0
138,1921,464065,1
139,1921,162467,0
140,1921,448052,2
141,1921,144827,0
142,1921,496065,1
143,1921,249370,0
144,1921,537733,0
145,1921,181293,0
146,1921,138600,0
147,1921,184200,0
148,1921,139507,0
149,1921,139533,0
150,1922,126903,6
151,1922,181640,0
152,1922,176907,0
153,1922,134467,0
154,1922,161427,0
155,1922,310073,0
156,1922,181173,0
157,1922,157333,0
158,1922,186800,0
159,1922,172027,0
160,1922,188000,0
161,1922,153533,0
162,1922,180933,0
163,1922,181440,0
164,1922,168000,0
165,1922,180800,4
166,1922,150160,0
167,1922,180400,0
168,1922,177400,0
169,1922,145627,0
170,1922,168107,0
171,1922,194200,0
172,1922,171013,0
173,1922,204773,0
174,1922,141440,0
175,1922,164600,0
176,1922,223440,0
177,1922,145400,0
178,1922,111256,0
179,1922,169853,0
180,1922,138587,0
181,1922,180253,0
182,1922,156960,0
183,1922,155093,0
184,1922,151040,0
185,1922,87040,0
186,1922,130987,0
187,1922,153133,0
188,1922,183720,0
189,1922,159800,0
190,1922,176000,0
191,1922,177773,0
192,1922,187040,0
193,1922,183027,0
194,1922,160267,0
195,1922,151573,0
196,1922,161080,0
197,1922,183840,0
198,1922,174453,0
199,1922,190653,0
200,1922,40000,0
201,1922,155653,0
202,1922,164653,0
203,1922,104400,0
204,1922,192933,0
205,1922,151027,0
206,1922,159800,0
207,1922,208267,0
208,1922,139760,0
209,1922,179813,0
210,1922,158587,0
211,1922,120760,0
212,1922,186200,0
213,1922,178373,0
214,1922,172803,0
215,1922,164320,0
216,1922,155253,0
217,1922,172800,0
218,1922,158573,0
219,1922,165200,0
220,1922,187733,0
221,1923,161933,42
222,1923,177133,42
223,1923,206600,29
224,1923,192600,32
225,1923,201480,26
226,1923,167640,26
227,1923,187960,24
228,1923,181173,27
229,1923,190107,22
230,1923,169960,22
231,1923,176067,22
232,1923,205053,22
233,1923,189600,22
234,1923,194533,20
235,1923,198053,20
236,1923,205440,18
237,1923,208827,17
238,1923,170827,13
239,1923,195000,12
240,1923,180533,13
241,1923,168533,13
242,1923,182707,13
243,1923,201267,11
244,1923,197493,11
245,1923,171027,10
246,1923,208360,10
247,1923,195400,16
248,1923,206253,11
249,1923,187227,10
250,1923,199213,11
251,1923,152507,9
252,1923,187627,9
253,1923,187507,10
254,1923,157373,8
255,1923,192027,8
256,1923,177240,7
257,1923,200093,10
258,1923,172493,8
259,1923,208200,7
260,1923,179360,8
261,1923,179667,8
262,1923,175227,7
263,1923,161800,7
264,1923,181027,6
265,1923,203307,9
266,1923,199293,6
267,1923,205533,8
268,1923,201267,6
269,1923,186427,7
270,1923,197000,6
271,1923,169733,6
272,1923,197067,6
273,1923,184533,6
274,1923,169267,7
275,1923,194227,6
276,1923,201200,6
277,1923,183800,6
278,1923,175573,6
279,1923,213667,6
280,1923,171373,6
281,1923,193760,6
282,1923,179840,5
283,1923,200200,4
284,1923,183200,6
285,1923,180600,5
286,1923,191800,4
287,1923,187707,4
288,1923,180307,6
289,1923,177307,4
290,1923,174373,5
291,1923,172667,4
292,1923,183133,5
293,1923,176400,5
294,1923,174893,6
295,1923,184133,5
296,1923,161560,6
297,1923,193667,5
298,1923,195960,4
299,1923,191400,6
300,1923,211800,4
301,1923,191173,5
302,1923,176333,6
303,1923,178827,6
304,1923,191307,5
305,1923,213000,5
306,1923,194293,6
307,1923,208040,5
308,1923,171533,5
309,1923,192200,6
310,1923,172973,5
311,1923,194267,5
312,1923,173173,4
313,1923,198467,5
314,1923,177093,5
315,1923,178707,4
316,1923,197627,3
317,1923,186467,4
318,1923,185973,4
319,1923,207000,4
320,1923,192760,4
321,1923,172187,0
322,1923,139707,0
323,1923,152947,0
324,1923,174387,0
325,1923,120093,0
326,1923,160907,0
327,1923,141040,0
328,1923,204400,0
329,1923,175541,0
330,1923,166587,0
331,1923,184427,0
332,1923,204173,0
333,1923,183133,0
334,1923,167680,0
335,1923,170800,0
336,1923,174667,0
337,1923,178147,0
338,1923,180387,0
339,1923,162064,0
340,1923,156587,0
341,1923,150640,0
342,1923,206000,0
343,1923,151467,0
344,1923,173427,0
345,1923,153147,0
346,1923,171107,0
347,1923,146827,0
348,1923,185853,0
349,1923,171933,0
350,1923,127893,0
351,1923,171187,0
352,1923,130064,0
353,1923,153187,0
354,1923,176200,0
355,1923,157867,0
356,1923,188840,0
357,1923,143073,0
358,1923,147069,0
359,1923,184059,0
360,1923,150570,0
361,1923,209058,0
362,1923,160787,0
363,1923,130347,0
364,1923,138387,0
365,1923,161071,0
366,1923,165787,0
367,1923,182440,0
368,1923,185067,0
369,1923,124056,0
370,1923,179987,0
371,1923,164867,0
372,1923,145973,0
373,1923,201400,0
374,1923,117944,0
375,1923,176147,0
376,1923,170667,0
377,1923,145427,0
378,1923,115069,0
379,1923,188067,0
380,1923,139733,0
381,1923,136800,0
382,1923,194533,0
383,1923,140013,0
384,1923,124613,0
